"KontoID","Konto","Naziv","RokPlacanja"
"110","0226","Ostala postrojenja i oprema","0"
"111","0227","Oprema van upotrebe","0"
"112","0228","Ispravka vrijednosti postrojenja i opreme (maSina) po osnovu amortizacije","0"
"113","0229","Vrijednosno usklaDivanje postrojenja i opremje (maSina)","0"
"114","023","Alati, pogonski i kancalarijski namjeStaj","0"
"115","0230","Specijalni alati","0"
"116","0231","Univerzalni i ostali alati","0"
"117","0232","Mjerni i kontrolni instrumenti","0"
"118","0233","Pogonski i skladiSni namjeStaj (stalaZe, ormari, skele i dr.)","0"
"119","0234","NamjeStaj u trgovini, ugostiteljstvu i dr. usluZnim djelatnostima","0"
"120","0235","Kancalarijski namjeStaj (radni stolovi, ormari i sl.)","0"
"121","0236","Ostali krupni inventar za opremanje i ureDenje","0"
"122","0237","Ostali pogonski i kancelarijski namjeStaj","0"
"123","0238","Ispravka vrijednosti alata, pogonskog i kancelarijskog namjeStaja po osnovu amortizacije","0"
"124","0239","Vrijednosno usklaDivanje postrojenja i opreme (maSina)","0"
"125","024","Transportna sredstva","0"
"126","0240","Transportna sredstva u cestovnom prometu","0"
"127","02400","PutniCki automobili","0"
"4093","02400001","MERCEDES BENZ 408","0"
"4094","02400002","MERCEDES BENZ 316","0"
"4096","02400003","MAN 6 20 CISTERNA","0"
"4095","02400004","MERCEDES BENZ 311","0"
"4097","02400005","VOLKSWAGEN CADY","0"
"128","02401","Dostavna vozila","0"
"129","02402","Teretna i vuCna vozila (kamioni i tegljaCi)","0"
"130","02403","PrikljuCna vozila (prikolice)","0"
"131","02404","Autobusi","0"
"132","02405","Trolejbusi","0"
"133","02406","Motocikli","0"
"134","02407","Traktori","0"
"135","02408","Ostala transportna sredstva u drumskom saobraCaju","0"
"136","0241","Transportna sredstva u ZeljezniCkom prometu","0"
"137","02410","Lokomotive (elektriCne i dizel)","0"
"139","02411","PutniCki vagoni","0"
"140","02413","Teretni vagoni","0"
"142","02415","Specijalni vagoni za prevoz rasutog tereta","0"
"143","02416","Ostali vagoni","0"
"144","02418","Ostala nepomenuta transportna sredstva u ZeljezniCkom saobraCaju","0"
"145","0242","Transportna sredstva u rijeCnom i pomorskom prometu","0"
"146","02420","Teretni brodovi","0"
"147","02421","PutniCki brodovi","0"
"148","02422","TegljaCi","0"
"149","02423","Skele","0"
"150","02424","Motorni Camci","0"
"152","02428","Ostala nepomenuta transportna sredstva u rijeCnom i pomorskom saobraCaju","0"
"153","0243","Transportna sredstva u zraCnom prometu","0"
"154","02430","Vlastite letjelice","0"
"155","02431","Letjelice u finansijskom prometu","0"
"156","02438","Ostala nepomenuta transportna sredstva u vazduSnom saobraCaju","0"
"2925","0244","Transportna sredstva za internu manipulaciju","0"
"2926","0247","Ostala transportna sredstva i ureDaji","0"
"2927","0248","Ispravka vrijednosti transportnih sredstava po osnovu amortizacije","0"
"2928","0249","Vrijednosno usklaDivanje transportnih sredstava","0"
"157","025","Nekretnine, postrojenja i oprema u pripremi","0"
"158","0250","Investicije u toku: ulaganja u zemljiSta","0"
"159","0251","Investicije u toku: ulaganja u graDevinske objekte","0"
"160","0252","Investicije u toku: ulaganja u postrojenja i opremu (maSine)","0"
"161","0253","Investicije u toku: ulaganja u alate, pogonski i kancalarijski namjeStaj","0"
"3534","0254","Investicije u toku-ulaganja u transportna sredstva","0"
"162","0255","Investicije u toku: ulaganja u stambene zgrade i stanove","0"
"163","0259","Vrijednosno usklaDivanje postrojenja i opreme u pripremi","0"
"164","026","Stambene zgrade i stanovi","0"
"165","0260","Stambeni objekti u cjelokupnom vlasniStvu pravnog lica","0"
"166","0261","Stambeni objekti u djelimiCnom vlasniStvu pravnog lica","0"
"167","0262","Stanovi u vlasniStvu pravnog lica","0"
"168","0267","Ostale nepomenute stambene zgrade i stanovi","0"
"169","0268","Ispravka vrijednosti stambenih zgrada i stanova po osnovu amortizacije","0"
"170","0269","Vrijednosno usklaDivanje stambenih zgrada i stanova","0"
"171","027","Avansi za nekretnine, postrojenja i opremu","0"
"172","0270","Avansi za zemljiSta","0"
"173","0271","Avansi za graDevinske objekte","0"
"174","0272","Avansi za postrojenja i opremu (maSine)","0"
"175","0273","Avansi za alate, pogonski i kancalarijski namjeStaj","0"
"176","0274","Avansi za transportna sredstva","0"
"177","0276","Avansi za stambene zgrade i stanove","0"
"2929","0279","Vrijednosno usklaDivanje datih avansa za nekretnine, postrojenja i opremu","0"
"188","03","INVESTICIJSKE NEKRETNINE","0"
"189","030","Ulaganja u vlastito zemljiSte","0"
"190","0300","Ulaganja u vlastito zemljiSte dato u najam","0"
"191","0301","Ulaganje u zemljiSte pribavljeno radi kapitalnog poveCanja vrijednosti","0"
"199","0309","Vrijednosno usklaDivanje vlastitog zemljiSta","0"
"200","031","Ulaganja u unajmljeno zemljiSte","0"
"201","0310","Ulaganje u unajmljeno zemljiSte u finansijskom najmu","0"
"202","0311","Ulaganje u unajmljeno zemljiSte u operativnom najmu","0"
"209","0319","Vrijednosno usklaDivanje unajmljenog zemljiSta","0"
"2930","032","Ulaganja u vlastite graDevine","0"
"2931","0320","Ulaganja u vlastite graDevine date u najam","0"
